Id,Label,timeset,group,calls,time,memory_in,memory_out
_call_with_frames_removed,_call_with_frames_removed,,_call_with_frames_removed,824,56.245215,0,0
_find_and_load,_find_and_load,,_find_and_load,620,46.636622,0,0
_find_and_load_unlocked,_find_and_load_unlocked,,_find_and_load_unlocked,615,46.5924,0,0
_load_unlocked,_load_unlocked,,_load_unlocked,592,44.071384,0,0
SourceFileLoader.exec_module,SourceFileLoader.exec_module,,SourceFileLoader,512,43.261069,0,0
<module>,<module>,,<module>,66,14.735804,0,0
_handle_fromlist,_handle_fromlist,,_handle_fromlist,889,10.095242,0,0
Scheduler.Scheduler.Compile_Instructions,Scheduler.Scheduler.Compile_Instructions,,Scheduler,1,7.175857,0,0
Scheduler.<module>,Scheduler.<module>,,Scheduler,1,6.765743,0,0
Scheduler.Scheduler.Send_Movement_Commands,Scheduler.Scheduler.Send_Movement_Commands,,Scheduler,191,6.283718,0,0
Lab.Lab.Compile_Commands,Lab.Lab.Compile_Commands,,Lab,191,6.176562,0,0
Lab.Lab.Advance,Lab.Lab.Advance,,Lab,191,6.173246,0,0
matplotlib.pyplot.<module>,matplotlib.pyplot.<module>,,matplotlib,1,4.518696,0,0
matplotlib.artist._update_set_signature_and_docstring,matplotlib.artist._update_set_signature_and_docstring,,matplotlib,101,3.685795,0,0
matplotlib.artist.__init_subclass__,matplotlib.artist.__init_subclass__,,matplotlib,100,3.644621,0,0
sre_compile._compile,sre_compile._compile,,sre_compile,3503,2.843878,0,0
matplotlib.figure.<module>,matplotlib.figure.<module>,,matplotlib,1,2.324099,0,0
matplotlib.artist.kwdoc,matplotlib.artist.kwdoc,,matplotlib,114,2.321482,0,0
matplotlib.artist.ArtistInspector.get_setters,matplotlib.artist.ArtistInspector.get_setters,,matplotlib,216,2.241014,0,0
sre_parse._parse_sub,sre_parse._parse_sub,,sre_parse,582,2.23669,0,0
matplotlib.projections.<module>,matplotlib.projections.<module>,,matplotlib,1,2.212035,0,0
sre_parse._parse,sre_parse._parse,,sre_parse,2787,2.169025,0,0
re._compile,re._compile,,re,7355,2.011043,0,0
sre_compile.compile,sre_compile.compile,,sre_compile,246,1.980304,0,0
matplotlib.colorbar.<module>,matplotlib.colorbar.<module>,,matplotlib,1,1.915046,0,0
matplotlib.<module>,matplotlib.<module>,,matplotlib,1,1.84187,0,0
matplotlib.artist.ArtistInspector.pprint_setters,matplotlib.artist.ArtistInspector.pprint_setters,,matplotlib,114,1.805431,0,0
re.compile,re.compile,,re,106,1.727678,0,0
inspect.signature,inspect.signature,,inspect,8722,1.69874,0,0
matplotlib.rcsetup.<module>,matplotlib.rcsetup.<module>,,matplotlib,1,1.69426,0,0
