hardware vs. memory (1000),,,
time+,buffalo,csel-kh1250-13,csel-kh1262-13
0.33,0.055,,
0.55,,0.074,
0.67,0.088,,
0.88,,0.123,
1.01,0.117,,
1.22,,0.166,
1.34,0.142,,
1.55,,0.211,
1.69,0.172,,
1.89,,0.26,
2.03,0.2,,
2.22,,0.304,
2.37,0.223,,
2.56,,0.34,
2.71,0.26,,
2.89,,0.4,
3.06,0.284,,
3.23,,0.442,
3.4,0.311,,
3.56,,0.487,
3.74,0.34,,
3.9,,0.532,
4.08,0.375,,
4.24,,0.595,
4.42,0.389,,
4.58,,0.608,
4.76,0.432,,
4.91,,0.684,
5.1,0.455,,
5.25,,0.731,
5.44,0.472,,
5.59,,0.741,
5.78,0.515,,
5.92,,0.814,
6.12,0.555,,
6.25,,0.89,
6.46,0.555,,
6.6,,0.9,
6.79,0.587,,
6.92,,0.924,
7.14,0.63,,
7.26,,1.0,
7.48,0.671,,
7.6,,1.0,
7.83,0.679,,
7.93,,1.0,
8.17,0.681,,
8.27,,1.0,
8.52,0.722,,
8.6,,1.0,
8.86,0.76,,
8.94,,1.0,
9.2,0.802,,
9.28,,1.0,
9.54,0.835,,
9.61,,1.0,
9.88,0.835,,
9.95,,1.0,
10.22,0.836,,
10.29,,1.0,
10.57,0.877,,
10.62,,1.0,
10.9,0.918,,
10.95,,1.0,
11.25,0.96,,
11.29,,1.0,
11.59,1.0,,
11.63,,1.0,
11.93,1.0,,
11.96,,1.0,
12.27,1.0,,
12.3,,1.0,
12.61,1.0,,
12.63,,1.0,
12.96,1.1,,
12.97,,1.0,
13.3,1.1,,
13.31,,1.0,
13.63,1.1,,
13.64,,1.0,
13.97,1.1,,
13.97,,1.0,
14.31,,1.0,
14.32,1.1,,
14.65,,1.0,
14.66,1.1,,
14.98,,1.0,
15.0,1.1,,
15.32,,1.0,
15.34,1.1,,
15.65,,1.0,
15.68,1.1,,
15.98,,1.0,
16.03,1.1,,
16.32,,1.0,
16.37,1.1,,
16.66,,1.0,
16.71,1.1,,
16.99,,1.0,
