gridsize vs. memory,,,,,,,,,,,
time+,gs=500,gs=600,gs=700,gs=800,gs=900,gs=1000,gs=1100,gs=1200,gs=1300,gs=1400,gs=1500
0.62,0.056,,,,,,,,,,
0.63,,,,,0.056,,,,,,
0.63,,,,,,,0.057,,,,
0.66,,,,0.057,,,,,,,
0.66,,,,,,,,,0.056,,
0.68,,,,,,,,,,0.07,
0.69,,0.06,,,,,,,,,
0.69,,,,,,,,0.061,,,
0.7,,,0.069,,,,,,,,
0.7,,,,,,0.066,,,,,
0.75,,,,,,,,,,,0.072
0.95,0.111,,,,,,,,,,
0.96,,,,,0.109,,,,,,
0.96,,,,,,,0.114,,,,
0.99,,,,0.118,,,,,,,
0.99,,,,,,,,,0.121,,
1.01,,,,,,,,,,0.125,
1.02,,,,,,,,0.121,,,
1.03,,0.12,,,,,,,,,
1.03,,,,,,0.123,,,,,
1.04,,,0.124,,,,,,,,
1.08,,,,,,,,,,,0.13
1.28,0.169,,,,,,,,,,
1.29,,,,,0.162,,,,,,
1.29,,,,,,,0.167,,,,
1.32,,,,0.168,,,,,,,
1.32,,,,,,,,,0.177,,
1.34,,,,,,,,,,0.182,
1.35,,,,,,,,0.182,,,
1.36,,0.166,,,,,,,,,
1.37,,,0.176,,,,,,,,
1.37,,,,,,0.18,,,,,
1.41,,,,,,,,,,,0.183
1.62,0.224,,,,,,,,,,
1.62,,,,,0.224,,,,,,
1.62,,,,,,,0.219,,,,
1.65,,,,,,,,,0.228,,
1.67,,,,0.227,,,,,,,
1.6800000000000002,,,,,,,,,,0.244,
1.7,,0.231,,,,,,,,,
1.7,,,0.229,,,,,,,,
1.7,,,,,,0.225,,,,,
1.7,,,,,,,,0.235,,,
1.75,,,,,,,,,,,0.249
1.95,0.29,,,,,,,,,,
1.96,,,,,0.266,,,,,,
1.96,,,,,,,0.277,,,,
1.99,,,,0.273,,,,,,,
1.99,,,,,,,,,0.295,,
2.01,,,,,,,,,,0.297,
2.03,,0.277,,,,,,,,,
2.03,,,0.275,,,,,,,,
2.03,,,,,,0.287,,,,,
2.03,,,,,,,,0.299,,,
2.09,,,,,,,,,,,0.297
2.29,0.29,,,,,,,,,,
2.29,,,,,0.32,,,,,,
2.3,,,,,,,0.332,,,,
