gene length vs. memory (hw=csel-kh1250-14),,,,,,,,,,,
time+,2-0,3-0,4-0,5-0,6-0,7-0,8-0,9-0,10-0,11-0,12-0
0.62,,0.62,,,,,,,,,
0.62,,,,0.62,,,,,,,
0.62,,,,,,,,0.62,,,
0.62,,,,,,,,,,0.62,
0.62,,,,,,,,,,,0.62
0.63,0.63,,,,,,,,,,
0.63,,,,,0.63,,,,,,
0.63,,,,,,0.63,,,,,
0.65,,,,,,,0.65,,,,
0.65,,,,,,,,,0.65,,
0.66,,,0.66,,,,,,,,
0.95,,0.95,,,,,,,,,
0.95,,,,0.95,,,,,,,
0.96,0.96,,,,,,,,,,
0.96,,,,,0.96,,,,,,
0.96,,,,,,,,0.96,,,
0.96,,,,,,,,,,0.96,
0.96,,,,,,,,,,,0.96
0.97,,,,,,0.97,,,,,
0.97,,,,,,,0.97,,,,
0.98,,,,,,,,,0.98,,
0.99,,,0.99,,,,,,,,
1.28,,,,1.28,,,,,,,
1.29,,,,,1.29,,,,,,
1.29,,,,,,,,1.29,,,
1.29,,,,,,,,,,1.29,
1.29,,,,,,,,,,,1.29
1.3,,,,,,1.3,,,,,
1.32,,,,,,,1.32,,,,
1.32,,,,,,,,,1.32,,
1.33,,,1.33,,,,,,,,
1.62,,,,1.62,,,,,,,
1.62,,,,,,,,,,,1.62
1.63,,,,,1.63,,,,,,
1.63,,,,,,1.63,,,,,
1.63,,,,,,,,1.63,,,
1.63,,,,,,,,,,1.63,
1.65,,,,,,,1.65,,,,
1.65,,,,,,,,,1.65,,
1.96,,,,,1.96,,,,,,
1.96,,,,,,,,1.96,,,
1.96,,,,,,,,,,1.96,
1.96,,,,,,,,,,,1.96
1.97,,,,,,1.97,,,,,
1.98,,,,,,,,,1.98,,
1.99,,,,,,,1.99,,,,
2.29,,,,,,,,2.29,,,
2.29,,,,,,,,,,2.29,
2.29,,,,,,,,,,,2.29
2.3,,,,,2.3,,,,,,
2.3,,,,,,2.3,,,,,
2.31,,,,,,,,,2.31,,
2.32,,,,,,,2.32,,,,
2.63,,,,,,2.63,,,,,
2.63,,,,,,,,2.63,,,
2.63,,,,,,,,,,2.63,
2.63,,,,,,,,,,,2.63
2.64,,,,,,,,,2.64,,
2.66,,,,,,,2.66,,,,
2.96,,,,,,,,,,2.96,
2.96,,,,,,,,,,,2.96
2.97,,,,,,,,2.97,,,
2.98,,,,,,,,,2.98,,
2.99,,,,,,,2.99,,,,
3.29,,,,,,,,,,3.29,
3.29,,,,,,,,,,,3.29
3.3,,,,,,,,3.3,,,
3.31,,,,,,,,,3.31,,
3.32,,,,,,,3.32,,,,
3.63,,,,,,,,3.63,,,
3.63,,,,,,,,,,3.63,
3.63,,,,,,,,,,,3.63
3.65,,,,,,,,,3.65,,
3.66,,,,,,,3.66,,,,
3.96,,,,,,,,,,,3.96
3.97,,,,,,,,3.97,,,
3.97,,,,,,,,,,3.97,
3.98,,,,,,,,,3.98,,
3.99,,,,,,,3.99,,,,
4.29,,,,,,,,,,,4.29
4.3,,,,,,,,4.3,,,
4.3,,,,,,,,,,4.3,
4.32,,,,,,,,,4.32,,
4.33,,,,,,,4.33,,,,
4.63,,,,,,,,,,4.63,
4.63,,,,,,,,,,,4.63
4.65,,,,,,,,,4.65,,
4.96,,,,,,,,,,,4.96
4.97,,,,,,,,,,4.97,
4.99,,,,,,,,,4.99,,
5.3,,,,,,,,,,5.3,
5.3,,,,,,,,,,,5.3
5.32,,,,,,,,,5.32,,
5.63,,,,,,,,,,5.63,
5.63,,,,,,,,,,,5.63
5.97,,,,,,,,,,5.97,
5.97,,,,,,,,,,,5.97
6.3,,,,,,,,,,6.3,
6.3,,,,,,,,,,,6.3
6.63,,,,,,,,,,,6.63
6.64,,,,,,,,,,6.64,
6.97,,,,,,,,,,6.97,
6.97,,,,,,,,,,,6.97
7.3,,,,,,,,,,7.3,
7.3,,,,,,,,,,,7.3
7.64,,,,,,,,,,7.64,
7.64,,,,,,,,,,,7.64
7.97,,,,,,,,,,,7.97
7.98,,,,,,,,,,7.98,
8.3,,,,,,,,,,,8.3
8.31,,,,,,,,,,8.31,
8.63,,,,,,,,,,,8.63
8.65,,,,,,,,,,8.65,
8.97,,,,,,,,,,,8.97
8.98,,,,,,,,,,8.98,
9.3,,,,,,,,,,,9.3
9.32,,,,,,,,,,9.32,
9.64,,,,,,,,,,9.64,
9.64,,,,,,,,,,,9.64
9.97,,,,,,,,,,,9.97
10.31,,,,,,,,,,,10.31
10.64,,,,,,,,,,,10.64
10.97,,,,,,,,,,,10.97
