hardware vs. memory (1000),,
time+,csel-kh1250-13,csel-kh1262-13
0.55,0.074,
0.88,0.123,
1.22,0.166,
1.55,0.211,
1.89,0.26,
2.22,0.304,
2.56,0.34,
2.89,0.4,
3.23,0.442,
3.56,0.487,
3.9,0.532,
4.24,0.595,
4.58,0.608,
4.91,0.684,
5.25,0.731,
5.59,0.741,
5.92,0.814,
6.25,0.89,
6.6,0.9,
6.92,0.924,
7.26,1.0,
7.6,1.0,
7.93,1.0,
8.27,1.0,
8.6,1.0,
8.94,1.0,
9.28,1.0,
9.61,1.0,
9.95,1.0,
10.29,1.0,
10.62,1.0,
10.95,1.0,
11.29,1.0,
11.63,1.0,
11.96,1.0,
12.3,1.0,
12.63,1.0,
12.97,1.0,
13.31,1.0,
13.64,1.0,
13.97,1.0,
14.31,1.0,
14.65,1.0,
14.98,1.0,
15.32,1.0,
15.65,1.0,
15.98,1.0,
16.32,1.0,
16.66,1.0,
16.99,1.0,
17.33,1.0,
17.66,1.0,
18.0,1.0,
18.33,1.0,
18.67,1.0,
19.0,1.0,
19.34,1.0,
19.67,1.0,
20.01,1.0,
20.34,1.0,
20.68,1.0,
21.02,1.0,
21.35,1.0,
21.68,1.0,
22.02,1.0,
22.36,1.0,
22.69,1.0,
23.02,1.0,
23.36,1.0,
23.7,1.0,
24.03,1.0,
24.37,1.0,
24.7,1.0,
25.04,1.0,
25.38,1.0,
25.71,1.0,
26.05,1.0,
26.39,1.0,
26.73,1.0,
27.06,1.0,
27.39,1.0,
27.73,1.0,
28.06,1.0,
28.4,1.0,
28.73,1.0,
29.07,1.0,
29.4,1.0,
29.74,1.0,
30.07,1.0,
30.41,1.0,
30.74,1.0,
31.08,1.0,
31.42,1.0,
31.75,1.0,
32.09,1.0,
32.42,1.0,
32.75,1.0,
33.09,1.0,
33.43,1.0,
33.76,1.0,
34.09,1.0,
34.43,1.0,
34.76,1.0,
35.09,1.0,
35.43,1.0,
35.76,1.0,
36.1,1.0,
36.43,1.0,
36.76,1.0,
37.1,1.0,
37.44,1.0,
37.77,1.0,
38.11,1.0,
38.44,1.0,
38.78,1.0,
39.11,1.0,
39.44,1.0,
39.78,1.0,
40.12,1.0,
40.45,1.0,
40.79,1.0,
41.12,1.0,
41.46,1.0,
41.79,1.1,
42.12,1.1,
42.46,1.1,
42.79,1.1,
43.13,1.1,
43.46,1.1,
43.8,1.1,
44.13,1.1,
44.46,1.1,
44.8,1.1,
45.13,1.1,
45.47,1.1,
45.8,1.1,
46.14,1.1,
46.47,1.1,
46.8,1.1,
47.14,1.1,
47.48,1.1,
47.81,1.1,
48.15,1.1,
48.48,1.1,
48.82,1.1,
49.15,1.1,
49.49,1.1,
49.82,1.1,
50.16,1.1,
50.49,1.1,
50.83,1.1,
51.16,1.1,
51.5,1.1,
51.83,1.1,
52.17,1.1,
52.5,1.1,
52.84,1.1,
53.17,1.1,
53.51,1.1,
53.84,1.1,
54.18,1.1,
54.51,1.1,
54.85,1.1,
55.18,1.1,
55.52,1.1,
55.86,1.1,
56.19,1.1,
56.53,1.1,
56.86,1.1,
57.2,1.1,
57.53,1.1,
57.87,1.1,
58.2,1.1,
58.54,1.1,
58.87,1.1,
59.21,1.1,
59.54,1.1,
59.88,1.1,
60.21,1.1,
60.55,1.1,
60.89,1.1,
61.23,1.1,
61.56,1.1,
61.9,1.1,
62.23,1.1,
62.57,1.1,
62.9,1.1,
63.24,1.1,
63.58,1.1,
63.91,1.1,
64.24,1.1,
64.58,1.1,
64.92,1.1,
65.25,1.1,
65.59,1.1,
65.92,1.1,
66.26,1.1,
66.6,1.1,
66.93,1.1,
67.27,1.1,
67.59,1.1,
67.89,1.1,
68.23,1.1,
68.56,1.1,
68.9,1.1,
69.23,1.1,
69.57,1.1,
69.91,1.1,
70.24,1.1,
70.58,1.1,
70.91,1.1,
71.25,1.1,
71.58,1.1,
71.92,1.1,
72.25,1.1,
72.59,1.1,
72.93,1.1,
73.26,1.1,
73.6,1.1,
73.93,1.1,
74.27,1.1,
74.61,1.1,
74.94,1.1,
75.27,1.1,
75.61,1.1,
75.95,1.1,
76.29,1.1,
76.62,1.1,
76.96,1.1,
77.3,1.1,
77.63,1.1,
77.97,1.1,
78.3,1.1,
78.64,1.1,
78.98,1.1,
79.31,1.1,
79.64,1.1,
79.98,1.1,
80.32,1.1,
80.65,1.1,
80.99,1.1,
81.33,1.1,
81.66,1.1,
82.0,1.1,
82.34,1.1,
82.67,1.1,
83.0,1.1,
83.34,1.1,
83.68,1.1,
84.01,1.1,
84.35,1.1,
84.68,1.1,
85.02,1.1,
85.35,1.1,
