time+,res,%cpu,total-runtime
0.32,0.046,11.2,674.39
0.67,0.074,12.5,
1.01,0.101,12.5,
1.3599999999999999,0.128,13.8,
1.69,0.157,12.5,
2.04,0.186,12.5,
2.38,0.21,13.8,
2.71,0.232,12.5,
3.06,0.26,12.5,
3.4,0.291,12.5,
3.74,0.312,12.5,
4.08,0.343,12.5,
4.42,0.375,13.8,
4.76,0.389,12.5,
5.1,0.43,12.5,
5.44,0.456,12.5,
5.78,0.467,12.5,
6.12,0.508,12.5,
6.46,0.549,12.5,
6.8100000000000005,0.555,13.8,
7.15,0.573,12.5,
7.48,0.612,11.2,
7.83,0.654,13.8,
8.17,0.68,12.5,
8.51,0.68,13.8,
8.84,0.705,12.5,
9.18,0.744,11.2,
9.52,0.785,12.5,
9.87,0.827,12.5,
10.2,0.836,12.5,
10.55,0.836,12.5,
10.89,0.861,12.5,
11.23,0.9,13.8,
11.56,0.94,11.2,
11.9,1.0,12.5,
12.24,1.0,12.5,
12.59,1.0,12.5,
12.93,1.0,12.5,
13.27,1.0,12.5,
13.61,1.1,12.5,
13.94,1.1,11.2,
14.28,1.1,12.5,
14.62,1.1,11.4,
14.96,1.1,12.5,
15.31,1.1,12.5,
15.65,1.1,12.5,
15.99,1.1,12.5,
16.33,1.1,12.5,
16.67,1.1,12.5,
17.01,1.1,12.5,
17.35,1.1,12.5,
17.69,1.1,12.5,
18.03,1.1,12.5,
18.37,1.1,12.5,
18.71,1.1,12.5,
19.05,1.1,12.5,
19.39,1.1,13.8,
19.73,1.1,13.8,
20.07,1.1,12.5,
20.4,1.1,12.5,
20.75,1.1,12.5,
21.09,1.1,12.5,
21.43,1.1,12.5,
21.77,1.1,13.8,
22.11,1.1,13.8,
22.44,1.1,12.5,
22.78,1.1,12.5,
23.12,1.1,12.5,
23.46,1.1,12.5,
23.8,1.1,12.5,
24.14,1.1,12.5,
24.48,1.1,12.5,
24.82,1.1,12.5,
25.16,1.1,12.5,
25.51,1.1,12.5,
25.85,1.1,12.5,
26.19,1.1,12.5,
26.53,1.1,12.5,
26.87,1.1,12.5,
27.2,1.1,12.5,
27.54,1.1,12.5,
27.88,1.1,12.5,
28.22,1.1,12.5,
28.57,1.1,13.8,
28.9,1.1,12.5,
29.24,1.1,12.5,
29.58,1.1,12.5,
29.92,1.1,12.5,
30.26,1.1,12.5,
30.6,1.1,12.5,
30.93,1.1,12.5,
31.27,1.1,12.5,
31.61,1.1,12.5,
31.95,1.1,12.5,
32.29,1.1,12.5,
32.63,1.1,12.5,
32.97,1.1,12.5,
33.31,1.1,12.5,
33.65,1.1,11.4,
33.99,1.1,12.5,
34.33,1.1,12.5,
34.67,1.1,12.5,
35.0,1.1,12.5,
35.35,1.1,13.8,
35.69,1.1,12.5,
36.03,1.1,12.5,
36.37,1.1,12.5,
36.71,1.1,12.5,
37.05,1.1,12.5,
37.39,1.1,12.5,
37.73,1.1,12.5,
38.07,1.1,12.5,
38.41,1.1,12.5,
38.75,1.1,12.5,
39.09,1.1,12.5,
39.43,1.1,12.5,
39.77,1.1,12.5,
40.11,1.1,12.5,
40.45,1.1,12.5,
40.79,1.1,12.5,
41.12,1.1,12.5,
41.46,1.1,12.5,
41.8,1.1,12.5,
42.14,1.1,12.5,
42.48,1.1,12.5,
42.82,1.2,12.5,
43.16,1.2,12.5,
43.5,1.2,12.5,
43.84,1.2,12.5,
44.18,1.2,12.5,
44.52,1.2,12.5,
44.86,1.2,12.5,
45.2,1.2,12.5,
45.54,1.2,12.5,
45.88,1.2,12.5,
46.22,1.2,12.5,
46.56,1.2,12.5,
46.9,1.2,13.8,
47.23,1.2,12.5,
47.57,1.2,12.5,
47.91,1.2,12.5,
48.25,1.2,12.5,
48.59,1.2,12.5,
48.94,1.2,12.5,
49.28,1.2,12.5,
49.62,1.2,12.5,
49.96,1.2,12.5,
50.3,1.2,12.5,
50.64,1.2,12.5,
50.98,1.2,12.5,
51.32,1.2,12.5,
51.66,1.2,12.5,
52.0,1.2,12.5,
52.34,1.2,12.5,
52.68,1.2,12.5,
53.02,1.2,12.5,
53.36,1.2,12.5,
53.7,1.2,12.5,
54.04,1.2,12.5,
54.38,1.2,12.5,
54.72,1.2,12.5,
55.06,1.2,11.4,
55.4,1.2,12.5,
55.74,1.2,12.5,
56.09,1.2,12.5,
56.43,1.2,12.5,
56.77,1.2,12.5,
57.11,1.2,12.5,
57.45,1.2,12.5,
