time+,res,%cpu,total-runtime
0.32,0.047,12.5,16.28
0.66,0.069,12.5,
1.0,0.069,12.5,
1.34,0.069,12.5,
1.6800000000000002,0.071,12.5,
2.02,0.074,12.5,
2.35,0.076,12.5,
2.69,0.077,12.5,
3.03,0.077,12.5,
3.37,0.077,12.5,
3.71,0.077,12.5,
4.05,0.077,12.5,
4.39,0.081,12.5,
4.73,0.083,12.5,
5.07,0.083,12.5,
5.41,0.083,12.5,
5.75,0.083,12.5,
6.08,0.084,12.5,
6.42,0.086,12.5,
6.76,0.086,12.5,
7.1,0.086,12.5,
7.44,0.086,12.5,
7.79,0.088,12.5,
8.13,0.088,12.5,
8.47,0.088,12.5,
8.81,0.088,12.5,
9.14,0.088,12.5,
9.48,0.088,12.5,
9.82,0.088,12.5,
10.16,0.088,12.5,
10.5,0.088,12.5,
10.84,0.088,12.5,
11.18,0.088,12.5,
11.52,0.089,12.5,
11.85,0.089,12.5,
12.19,0.089,12.5,
12.53,0.089,12.5,
12.87,0.089,12.5,
13.21,0.089,12.5,
13.55,0.089,12.5,
13.89,0.089,12.5,
14.23,0.088,12.5,
14.57,0.088,12.5,
14.91,0.088,12.5,
15.26,0.088,12.5,
15.6,0.088,12.5,
15.94,0.088,12.5,
16.28,0.088,12.5,
