time+,total-runtime
0.61,4121.63
0.94,
1.27,
1.6099999999999999,
1.94,
2.27,
2.61,
2.94,
3.2800000000000002,
3.61,
3.94,
4.28,
4.61,
4.95,
5.28,
5.62,
5.95,
6.29,
6.62,
6.96,
7.29,
7.62,
7.96,
8.3,
8.63,
8.97,
9.29,
9.63,
9.96,
10.3,
10.64,
10.97,
11.31,
11.64,
11.98,
12.31,
12.64,
12.97,
13.31,
13.64,
13.98,
14.31,
14.64,
14.98,
15.31,
15.64,
15.98,
16.31,
16.65,
16.98,
17.31,
17.65,
17.98,
18.31,
18.64,
18.98,
19.31,
19.65,
19.98,
20.31,
20.64,
20.98,
21.31,
21.65,
21.98,
22.31,
22.64,
22.98,
23.32,
23.64,
23.98,
24.32,
24.64,
24.98,
25.31,
25.65,
25.97,
26.31,
26.64,
26.97,
27.3,
27.65,
27.97,
28.31,
28.65,
28.98,
29.31,
29.64,
29.98,
30.31,
30.64,
30.97,
31.31,
31.64,
31.98,
32.32,
32.64,
32.98,
33.32,
33.65,
33.98,
34.31,
34.65,
34.98,
35.32,
35.65,
35.98,
36.31,
36.65,
36.98,
37.32,
37.65,
37.99,
38.32,
38.65,
38.99,
39.32,
39.65,
39.99,
40.32,
40.66,
40.99,
41.31,
41.65,
41.99,
42.32,
42.66,
42.99,
43.32,
43.66,
43.99,
44.32,
44.65,
44.99,
45.32,
45.66,
45.99,
46.33,
46.65,
46.99,
47.32,
47.66,
47.99,
48.33,
48.65,
48.99,
49.33,
49.66,
49.99,
50.32,
50.66,
51.0,
51.32,
51.66,
52.0,
52.32,
52.66,
52.99,
53.32,
53.66,
54.0,
54.33,
54.66,
54.99,
55.33,
55.66,
56.0,
56.33,
56.66,
57.0,
57.33,
57.66,
57.99,
58.33,
58.67,
58.99,
59.32,
59.66,
59.99,
60.33,
60.66,
61.0,
61.33,
61.66,
61.99,
62.33,
62.66,
63.0,
63.33,
63.67,
64.0,
64.34,
64.67,
65.0,
65.33,
65.67,
66.0,
66.33,
66.67,
67.0,
67.33,
67.66,
68.0,
68.33,
68.67,
69.0,
69.34,
69.67,
70.02,
70.36,
70.69,
71.02,
71.36,
71.69,
72.02,
72.36,
72.69,
73.02,
73.36,
73.69,
74.03,
74.35,
74.69,
75.03,
75.36,
75.69,
76.03,
76.36,
76.7,
77.03,
77.36,
77.7,
78.03,
78.37,
78.69,
79.04,
79.36,
79.7,
80.03,
80.37,
80.71,
81.04,
81.37,
81.7,
82.03,
82.37,
82.7,
83.03,
83.37,
83.7,
84.03,
84.36,
84.7,
85.03,
85.37,
85.71,
86.04,
86.37,
86.7,
87.04,
87.37,
87.7,
88.03,
88.37,
88.7,
89.04,
89.37,
89.7,
90.04,
90.37,
90.71,
91.04,
91.38,
91.71,
92.04,
92.37,
92.71,
93.04,
93.38,
93.7,
94.04,
94.38,
94.71,
95.05,
95.37,
95.71,
96.04,
96.37,
96.71,
97.04,
97.37,
97.71,
98.04,
98.37,
98.71,
99.04,
99.37,
99.7,
100.03,
100.37,
100.7,
101.03,
101.36,
101.7,
102.03,
102.37,
102.7,
103.03,
103.37,
103.7,
104.04,
104.37,
104.7,
105.04,
105.37,
105.7,
106.04,
106.37,
106.7,
107.04,
107.37,
107.7,
108.04,
108.37,
108.7,
109.04,
109.38,
109.71,
110.04,
110.38,
110.71,
111.04,
111.38,
111.72,
112.05,
112.38,
112.72,
113.05,
113.38,
113.72,
114.06,
114.39,
114.72,
115.06,
115.39,
115.72,
116.06,
116.39,
116.73,
117.07,
117.4,
117.74,
118.07,
118.41,
118.74,
119.08,
119.41,
119.74,
120.08,
120.41,
120.74,
121.08,
121.41,
121.75,
122.09,
122.42,
122.76,
123.09,
123.42,
123.76,
124.09,
124.43,
124.76,
125.1,
125.43,
125.77,
126.1,
126.44,
126.78,
127.11,
127.45,
127.78,
128.12,
128.45,
128.79,
129.12,
129.46,
129.79,
130.13,
130.46,
130.8,
131.13,
131.46,
131.8,
132.14,
132.47,
132.8,
133.14,
133.48,
133.81,
134.14,
134.48,
134.81,
135.15,
135.48,
135.82,
136.15,
136.48,
136.82,
137.16,
137.49,
137.82,
138.16,
138.5,
138.83,
139.16,
139.5,
139.84,
140.17,
140.5,
140.84,
141.17,
141.51,
141.84,
142.18,
142.51,
142.85,
143.18,
143.52,
143.85,
144.19,
144.52,
144.86,
145.19,
145.52,
145.86,
146.19,
146.53,
146.86,
147.2,
147.53,
147.86,
148.2,
148.53,
148.87,
149.2,
149.53,
149.87,
150.2,
150.54,
150.87,
151.21,
151.54,
151.88,
152.21,
152.55,
152.88,
153.21,
153.55,
153.88,
154.22,
154.55,
154.89,
155.22,
155.55,
155.89,
156.22,
156.56,
156.89,
157.23,
157.56,
157.89,
158.23,
158.56,
158.9,
159.23,
159.57,
159.9,
160.23,
160.57,
160.9,
161.24,
161.57,
161.91,
162.24,
162.57,
162.91,
163.24,
163.58,
163.91,
164.25,
164.58,
164.91,
165.25,
165.58,
165.92,
166.25,
166.59,
166.92,
167.25,
167.59,
167.92,
168.26,
168.59,
168.93,
169.26,
169.59,
169.93,
170.26,
170.59,
170.93,
171.26,
171.6,
171.93,
172.27,
172.6,
172.93,
173.27,
173.6,
173.94,
174.27,
174.61,
174.94,
175.27,
175.61,
175.94,
176.27,
176.61,
176.94,
177.28,
177.61,
177.95,
178.28,
178.61,
178.95,
179.28,
179.62,
179.95,
180.29,
180.62,
180.95,
181.29,
181.62,
181.96,
182.29,
182.62,
182.96,
183.29,
183.62,
183.96,
184.3,
184.63,
184.96,
185.3,
185.64,
185.97,
186.3,
186.64,
186.97,
187.3,
187.64,
187.97,
188.31,
188.64,
188.98,
189.31,
189.64,
189.98,
190.31,
190.65,
190.98,
191.32,
191.65,
191.98,
192.32,
192.65,
192.99,
193.32,
193.66,
193.99,
194.32,
194.66,
194.99,
195.33,
195.66,
196.0,
196.33,
196.66,
197.0,
197.33,
197.67,
198.0,
198.34,
198.67,
199.0,
199.34,
199.67,
200.01,
200.34,
200.68,
201.01,
201.34,
201.68,
202.01,
202.35,
202.68,
203.02,
203.35,
203.68,
204.02,
204.35,
204.69,
205.02,
205.36,
205.69,
206.02,
206.36,
206.69,
207.02,
207.36,
207.7,
208.03,
208.36,
208.7,
209.03,
209.36,
209.7,
210.03,
210.37,
210.7,
211.04,
211.37,
211.7,
212.04,
212.37,
212.71,
213.04,
213.38,
213.71,
214.04,
214.38,
214.72,
215.05,
215.38,
215.72,
216.05,
216.38,
216.72,
217.05,
217.39,
217.72,
218.05,
218.39,
218.72,
219.06,
219.39,
219.73,
220.06,
220.39,
220.73,
221.06,
221.39,
221.73,
222.06,
222.4,
222.73,
223.07,
223.4,
223.74,
224.07,
224.41,
224.74,
225.07,
225.41,
225.74,
226.08,
226.41,
226.75,
227.08,
227.41,
227.75,
228.08,
228.41,
228.75,
229.08,
229.42,
229.75,
230.09,
230.42,
230.75,
231.09,
231.42,
231.75,
232.09,
232.42,
232.76,
233.09,
233.43,
233.76,
234.09,
234.43,
234.76,
235.1,
235.43,
235.77,
236.1,
236.43,
236.77,
237.1,
237.44,
237.77,
238.11,
238.44,
238.77,
239.11,
239.44,
239.78,
240.11,
240.45,
240.78,
241.11,
241.45,
241.78,
242.11,
242.45,
242.78,
243.12,
243.45,
243.79,
244.12,
244.46,
244.79,
245.13,
245.46,
245.79,
246.13,
246.46,
246.8,
247.13,
247.47,
247.8,
248.13,
248.47,
248.8,
249.14,
249.47,
249.81,
250.14,
250.47,
250.81,
251.15,
251.48,
251.81,
252.15,
252.48,
252.81,
253.15,
253.48,
253.82,
254.15,
254.49,
254.82,
255.15,
255.49,
255.83,
256.16,
256.49,
256.83,
257.16,
257.5,
257.83,
258.16,
258.5,
258.83,
259.17,
259.5,
259.84,
260.17,
260.5,
260.84,
261.17,
261.51,
261.84,
262.18,
262.51,
262.85,
263.18,
263.52,
263.85,
264.18,
264.52,
264.85,
265.19,
265.52,
265.86,
266.2,
266.53,
266.86,
267.2,
267.53,
267.87,
268.2,
268.54,
268.87,
269.2,
269.54,
269.87,
270.21,
270.54,
270.88,
271.21,
271.55,
271.88,
272.22,
272.55,
272.88,
273.22,
273.55,
273.89,
274.22,
274.56,
274.89,
275.22,
275.56,
275.89,
276.23,
276.56,
276.9,
277.23,
277.56,
277.9,
278.23,
278.57,
278.9,
279.24,
279.57,
279.9,
280.24,
280.57,
280.91,
281.24,
281.58,
281.91,
282.24,
282.58,
282.92,
283.25,
283.58,
283.92,
284.25,
284.59,
284.92,
285.26,
285.59,
285.92,
286.26,
286.59,
286.93,
287.26,
287.6,
287.93,
288.26,
288.61,
288.94,
289.28,
289.61,
289.94,
290.28,
290.61,
290.95,
291.28,
291.62,
291.95,
292.28,
292.62,
292.95,
293.29,
293.62,
293.96,
294.29,
294.62,
294.96,
295.29,
295.63,
295.96,
296.3,
296.63,
296.96,
297.29,
297.63,
297.96,
298.3,
298.63,
298.96,
299.3,
299.63,
