time+,res,%cpu,total-runtime
0.7,0.066,6.2,1962.33
1.03,0.123,6.2,
1.37,0.18,6.2,
1.7,0.225,6.2,
2.03,0.287,6.2,
2.37,0.34,6.2,
2.7,0.382,6.2,
3.03,0.46,6.2,
3.36,0.507,6.2,
3.7,0.561,6.2,
4.04,0.617,6.2,
4.37,0.687,6.2,
4.71,0.705,6.9,
5.04,0.807,6.2,
5.37,0.846,6.2,
5.71,0.867,6.2,
6.04,1.0,6.2,
6.38,1.0,6.2,
6.71,1.0,6.2,
7.04,1.0,6.2,
7.37,1.0,6.2,
7.71,1.0,6.2,
8.04,1.0,6.2,
8.37,1.0,6.2,
8.7,1.0,5.7,
9.04,1.0,6.2,
9.37,1.0,6.2,
9.7,1.0,6.2,
10.04,1.0,6.2,
10.37,1.0,6.2,
10.7,1.0,6.2,
11.03,1.0,6.2,
11.36,1.0,6.2,
11.69,1.0,6.2,
12.03,1.0,6.2,
12.36,1.0,6.2,
12.69,1.0,6.2,
13.03,1.0,6.2,
13.36,1.0,6.2,
13.69,1.0,6.2,
14.03,1.0,6.2,
14.36,1.0,6.2,
14.69,1.0,6.2,
15.03,1.0,6.2,
15.36,1.0,6.2,
15.69,1.0,6.2,
16.02,1.0,6.2,
16.36,1.0,6.2,
16.69,1.0,6.2,
17.02,1.0,6.2,
17.35,1.0,6.2,
17.69,1.0,6.2,
18.02,1.0,6.2,
18.35,1.0,6.2,
18.69,1.0,6.2,
19.02,1.0,6.2,
19.36,1.0,6.2,
19.69,1.0,6.2,
20.02,1.0,6.2,
20.36,1.0,6.2,
20.69,1.0,6.2,
21.02,1.0,6.2,
21.35,1.0,6.2,
21.68,1.0,6.2,
22.02,1.0,6.2,
22.35,1.0,5.7,
22.68,1.0,6.2,
23.01,1.0,6.2,
23.34,1.0,6.2,
23.67,1.0,5.6,
24.0,1.0,5.7,
24.34,1.0,6.2,
24.68,1.0,6.2,
25.01,1.0,6.2,
25.34,1.0,6.2,
25.67,1.0,6.2,
26.0,1.0,5.7,
26.33,1.0,6.2,
26.67,1.0,6.2,
27.0,1.0,6.2,
27.33,1.0,6.2,
27.66,1.0,6.2,
28.0,1.0,6.2,
28.33,1.0,6.2,
28.67,1.0,6.2,
29.0,1.0,6.2,
29.33,1.0,6.2,
29.66,1.0,6.2,
30.0,1.0,6.2,
30.33,1.0,6.2,
30.66,1.0,6.2,
30.99,1.0,6.2,
31.33,1.0,6.2,
31.66,1.0,6.2,
31.99,1.0,6.2,
32.32,1.0,6.2,
32.65,1.0,6.2,
32.99,1.1,5.7,
33.32,1.1,6.2,
33.65,1.1,6.2,
33.98,1.1,6.2,
34.31,1.1,6.2,
34.64,1.1,6.2,
34.97,1.1,6.2,
35.3,1.1,6.2,
35.64,1.1,6.2,
35.97,1.1,6.2,
36.3,1.1,6.2,
36.63,1.1,6.2,
36.96,1.1,6.2,
37.29,1.1,5.6,
37.62,1.1,6.2,
37.96,1.1,6.2,
38.29,1.1,6.2,
38.62,1.1,6.2,
38.95,1.1,6.2,
39.28,1.1,6.2,
39.62,1.1,6.2,
39.95,1.1,6.2,
40.28,1.1,6.2,
40.61,1.1,6.2,
40.94,1.1,6.2,
41.28,1.1,6.2,
41.61,1.1,6.2,
41.94,1.1,6.2,
42.28,1.1,6.2,
42.61,1.1,6.2,
42.94,1.1,6.2,
43.27,1.1,6.2,
43.6,1.1,6.2,
43.94,1.1,6.2,
44.27,1.1,6.2,
44.6,1.1,6.2,
44.94,1.1,6.2,
45.27,1.1,6.2,
45.6,1.1,6.2,
45.93,1.1,6.2,
46.27,1.1,6.9,
46.6,1.1,6.2,
46.93,1.1,6.2,
47.26,1.1,6.2,
47.6,1.1,6.2,
47.93,1.1,6.2,
48.26,1.1,6.2,
48.59,1.1,6.2,
48.93,1.1,6.2,
49.26,1.1,6.2,
49.6,1.1,6.2,
49.93,1.1,6.2,
50.26,1.1,6.2,
50.6,1.1,6.2,
50.93,1.1,6.2,
51.27,1.1,6.9,
51.6,1.1,6.2,
51.93,1.1,6.2,
52.27,1.1,6.2,
52.6,1.1,6.2,
52.93,1.1,6.2,
53.27,1.1,6.2,
53.6,1.1,6.2,
53.93,1.1,6.2,
54.27,1.1,6.2,
54.6,1.1,6.2,
54.94,1.1,6.2,
55.27,1.1,6.2,
55.6,1.1,6.2,
55.93,1.1,6.2,
56.27,1.1,6.2,
56.6,1.1,6.2,
56.94,1.1,6.2,
57.27,1.1,6.2,
57.61,1.1,6.2,
57.94,1.1,6.2,
58.27,1.1,6.2,
58.61,1.1,6.2,
58.94,1.1,6.2,
59.27,1.1,6.2,
59.61,1.1,6.2,
59.94,1.1,6.2,
60.28,1.1,6.2,
60.61,1.1,6.2,
60.95,1.1,6.2,
61.28,1.1,6.2,
61.61,1.1,6.2,
61.95,1.1,5.7,
62.28,1.1,6.2,
62.61,1.1,6.2,
62.95,1.1,6.2,
63.29,1.1,6.2,
63.62,1.1,6.2,
63.95,1.1,6.2,
64.29,1.1,6.2,
64.62,1.1,6.2,
64.96,1.1,6.2,
65.29,1.1,6.2,
65.63,1.1,6.2,
65.96,1.1,6.2,
66.29,1.1,6.2,
66.64,1.1,6.2,
66.97,1.1,6.2,
67.3,1.1,6.2,
67.63,1.1,6.2,
67.97,1.1,6.2,
68.3,1.1,6.2,
68.64,1.1,6.2,
68.97,1.1,6.2,
69.3,1.1,5.7,
69.64,1.1,6.2,
69.97,1.1,6.2,
70.31,1.1,6.2,
70.64,1.1,6.2,
70.98,1.1,6.2,
71.31,1.1,6.2,
71.64,1.1,5.7,
71.98,1.1,6.2,
72.31,1.1,6.2,
72.65,1.1,6.9,
72.98,1.1,6.2,
73.32,1.1,6.2,
73.65,1.1,6.2,
73.98,1.1,6.2,
74.32,1.1,6.2,
74.66,1.1,6.2,
74.99,1.1,6.2,
75.32,1.1,6.2,
75.66,1.1,6.2,
75.99,1.1,6.2,
76.33,1.1,6.2,
76.66,1.1,6.2,
77.0,1.1,6.2,
77.33,1.1,6.2,
77.66,1.1,6.2,
78.0,1.1,6.2,
78.33,1.1,6.2,
78.67,1.1,6.2,
79.0,1.1,6.2,
79.34,1.1,6.2,
79.67,1.1,6.2,
80.01,1.1,6.2,
80.34,1.1,6.2,
80.68,1.1,6.2,
81.01,1.1,6.2,
81.34,1.1,6.2,
81.68,1.1,6.2,
82.01,1.1,6.2,
82.35,1.1,6.2,
82.68,1.1,6.2,
83.02,1.1,6.2,
83.35,1.1,6.2,
83.68,1.1,6.2,
84.02,1.1,6.2,
84.35,1.1,6.2,
84.69,1.1,6.2,
85.03,1.1,6.9,
85.36,1.1,6.2,
85.69,1.1,6.2,
86.03,1.1,6.2,
86.36,1.1,5.7,
86.7,1.1,6.2,
87.03,1.1,6.2,
87.37,1.1,6.2,
87.7,1.1,6.2,
88.03,1.1,6.2,
88.37,1.1,6.2,
88.7,1.1,5.7,
89.04,1.1,6.2,
89.37,1.1,6.2,
89.71,1.1,6.2,
90.04,1.1,6.2,
90.37,1.1,6.2,
90.71,1.1,6.2,
91.04,1.1,6.2,
91.38,1.1,6.2,
91.71,1.1,6.2,
92.05,1.1,6.2,
92.39,1.1,6.9,
92.72,1.1,6.2,
93.05,1.1,5.7,
93.39,1.1,6.2,
93.72,1.1,6.2,
94.05,1.1,6.2,
94.39,1.1,6.2,
94.72,1.1,6.2,
95.05,1.1,6.2,
95.39,1.1,6.2,
95.72,1.1,6.2,
96.06,1.1,6.2,
96.39,1.1,6.2,
96.73,1.1,6.2,
97.06,1.1,6.2,
97.39,1.1,5.7,
97.73,1.1,6.2,
98.06,1.1,6.2,
98.39,1.1,6.2,
98.73,1.1,6.2,
99.06,1.1,6.2,
99.39,1.1,6.2,
99.73,1.1,6.2,
100.06,1.1,6.2,
100.39,1.1,6.2,
100.73,1.1,6.2,
101.06,1.1,6.2,
101.4,1.1,6.9,
101.73,1.1,6.2,
102.06,1.1,6.2,
102.4,1.1,6.2,
102.73,1.1,6.2,
103.07,1.1,6.2,
103.4,1.1,6.2,
103.73,1.1,6.2,
104.07,1.1,6.2,
104.4,1.1,6.2,
104.73,1.1,6.2,
105.07,1.1,6.2,
105.4,1.1,5.7,
105.73,1.1,6.2,
106.07,1.1,6.2,
106.4,1.1,6.2,
106.74,1.1,6.2,
107.07,1.1,6.2,
107.4,1.1,6.2,
107.74,1.1,6.2,
108.07,1.1,5.7,
108.41,1.1,6.2,
108.74,1.1,6.2,
109.07,1.1,6.2,
109.41,1.1,6.2,
109.74,1.1,6.2,
110.07,1.1,6.2,
110.41,1.1,6.2,
110.74,1.1,6.2,
111.08,1.1,6.2,
111.41,1.1,6.2,
111.74,1.1,6.2,
112.08,1.1,6.2,
112.41,1.1,6.2,
112.75,1.1,6.2,
113.08,1.1,6.2,
113.41,1.1,6.2,
113.75,1.1,6.2,
114.08,1.1,6.2,
114.41,1.1,6.2,
114.75,1.1,6.2,
115.08,1.1,6.2,
115.41,1.1,6.2,
