time+,res,%cpu,total-runtime
0.58,79828,12.5,108.82
0.92,127440,12.5,
1.25,147656,12.5,
1.5899999999999999,147656,12.5,
1.92,147656,12.5,
2.26,147656,12.5,
2.59,148036,12.5,
2.92,149572,12.5,
3.26,150852,12.5,
3.59,152132,12.5,
3.93,153644,12.5,
4.26,154420,12.5,
4.6,158112,12.5,
4.93,158112,12.5,
5.27,158112,12.5,
5.6,158112,12.5,
5.9399999999999995,158112,12.5,
6.27,158112,12.5,
6.6,158376,12.5,
6.9399999999999995,165748,12.5,
7.27,165748,12.5,
7.61,165748,12.5,
7.9399999999999995,173188,12.5,
8.27,173188,12.5,
8.61,173188,12.5,
8.94,173188,12.5,
9.28,173188,12.5,
9.61,173188,12.5,
9.95,173188,12.5,
10.28,173452,12.5,
10.61,173452,12.5,
10.95,181304,12.5,
11.28,181304,12.5,
11.62,181304,12.5,
11.95,181304,12.5,
12.28,181304,12.5,
12.62,181304,12.5,
12.95,181304,12.5,
13.29,181304,12.5,
13.62,181304,12.5,
13.96,181304,12.5,
14.29,180796,12.5,
14.62,180796,12.5,
14.96,180796,12.5,
15.3,180796,12.5,
15.63,180796,12.5,
15.96,180796,12.5,
16.3,180796,12.5,
16.64,180796,12.5,
16.97,180796,12.5,
17.3,180796,12.5,
17.64,180796,12.5,
17.97,180796,12.5,
18.31,180796,13.8,
18.64,180796,12.5,
18.98,180796,12.5,
19.31,180796,12.5,
19.64,180796,12.5,
19.98,180796,12.5,
20.31,180796,12.5,
20.65,180796,12.5,
20.98,180796,12.5,
21.32,180796,12.5,
21.65,181840,12.5,
21.98,181840,12.5,
22.32,185536,12.5,
22.65,185800,12.5,
22.98,185800,12.5,
23.32,185800,12.5,
23.65,185800,12.5,
23.99,185800,12.5,
24.32,185800,12.5,
24.66,185800,12.5,
24.99,185800,12.5,
25.34,185800,12.5,
25.67,185800,11.4,
26.0,185800,12.5,
26.34,185800,12.5,
26.68,185800,12.5,
27.01,185800,12.5,
27.35,185800,13.8,
27.68,185800,12.5,
28.02,185800,12.5,
28.35,185800,12.5,
28.69,185800,12.5,
29.02,185800,12.5,
29.36,187648,12.5,
29.69,187648,12.5,
30.03,191608,12.5,
30.37,191608,12.5,
30.71,191608,12.5,
31.04,191608,12.5,
31.38,196096,12.5,
31.71,196096,12.5,
32.05,196096,12.5,
32.38,196096,12.5,
32.71,198804,12.5,
33.05,198804,12.5,
33.39,198804,12.5,
33.72,198804,12.5,
34.06,198804,12.5,
34.39,198548,12.5,
34.73,198548,12.5,
35.07,198548,12.5,
35.41,198548,12.5,
35.74,198548,12.5,
36.08,198548,12.5,
36.41,198548,12.5,
36.75,198548,12.5,
37.08,198548,12.5,
37.42,198548,12.5,
37.75,198548,12.5,
38.09,198548,12.5,
38.42,198548,12.5,
38.76,198548,12.5,
39.09,198548,12.5,
39.43,198548,12.5,
39.77,198548,12.5,
40.1,198036,12.5,
40.44,198036,12.5,
40.77,198036,12.5,
41.11,198036,12.5,
41.45,198036,12.5,
41.78,198036,12.5,
42.12,198036,13.8,
42.45,200248,12.5,
42.79,200248,12.5,
43.12,200512,12.5,
43.46,200512,12.5,
43.79,200512,12.5,
44.13,200512,12.5,
44.47,200512,12.5,
44.8,200512,12.5,
45.14,200512,12.5,
45.48,200512,12.5,
45.82,200512,12.5,
46.15,200512,11.4,
46.49,200512,12.5,
46.82,200512,12.5,
47.16,200512,12.5,
47.49,200512,12.5,
47.83,201568,12.5,
48.17,201568,12.5,
48.5,203680,12.5,
48.84,203680,12.5,
49.17,203680,12.5,
49.51,203680,12.5,
49.85,203680,12.5,
50.2,203680,12.5,
50.54,203680,12.5,
50.88,203680,12.5,
51.21,203680,12.5,
51.55,203680,12.5,
51.89,203680,12.5,
52.22,203680,12.5,
52.56,203680,13.8,
52.89,203680,12.5,
53.23,203680,12.5,
53.56,203680,12.5,
53.9,203680,12.5,
54.23,203680,12.5,
54.57,203680,12.5,
54.9,203680,12.5,
55.24,203680,12.5,
55.58,203680,12.5,
55.91,203680,12.5,
56.25,203680,12.5,
56.58,205000,12.5,
56.92,205000,12.5,
57.27,205000,12.5,
57.6,205000,12.5,
57.94,205000,12.5,
58.28,204944,12.5,
58.61,204944,12.5,
58.94,204944,12.5,
59.28,204944,12.5,
59.61,204944,12.5,
59.95,204944,12.5,
60.29,204944,12.5,
60.62,204944,12.5,
60.96,204944,12.5,
61.29,204944,12.5,
61.62,204944,12.5,
61.96,204944,11.4,
62.3,204944,12.5,
62.63,204944,11.4,
62.96,204944,12.5,
63.3,204944,12.5,
63.64,204944,12.5,
63.97,204944,12.5,
64.3,204944,12.5,
64.64,204944,12.5,
64.97,204944,12.5,
65.31,204944,12.5,
65.65,204944,12.5,
65.98,204944,12.5,
66.32,204944,12.5,
66.65,204944,11.4,
66.98,204944,12.5,
67.32,204944,12.5,
67.65,204944,12.5,
67.99,204944,12.5,
68.32,204944,12.5,
68.66,204944,12.5,
68.99,204944,12.5,
69.33,204944,12.5,
69.66,204944,12.5,
70.0,204944,12.5,
70.34,204944,12.5,
70.67,204944,12.5,
71.0,204944,12.5,
71.34,204944,11.4,
71.68,204944,12.5,
72.01,204944,12.5,
72.34,204944,12.5,
72.68,204944,12.5,
73.01,204944,12.5,
73.34,204944,12.5,
73.68,204944,12.5,
74.01,204944,12.5,
74.35,204944,12.5,
74.68,204944,12.5,
75.02,204944,12.5,
75.35,204944,12.5,
75.68,204944,12.5,
76.02,204944,12.5,
76.36,204944,12.5,
76.69,204944,12.5,
77.02,204944,12.5,
77.36,204944,12.5,
77.69,204944,12.5,
78.03,204944,12.5,
78.36,204944,12.5,
78.7,204944,12.5,
79.03,204944,12.5,
79.36,204944,12.5,
79.7,204944,12.5,
80.03,204944,12.5,
80.37,204944,12.5,
80.7,204944,12.5,
81.04,204944,12.5,
81.37,204944,12.5,
81.71,204944,12.5,
82.04,204944,12.5,
82.38,204944,12.5,
82.71,204944,12.5,
83.04,207844,12.5,
83.38,207844,12.5,
83.71,207844,12.5,
84.04,207844,12.5,
84.38,207844,12.5,
84.72,207528,13.8,
85.05,207528,12.5,
85.39,207528,12.5,
85.72,207528,12.5,
86.06,207528,12.5,
86.39,207528,12.5,
86.73,207528,12.5,
87.06,207528,12.5,
87.4,207528,12.5,
87.73,207528,12.5,
88.07,207528,13.8,
88.4,207528,12.5,
88.74,207528,12.5,
89.07,207528,12.5,
89.4,207528,12.5,
89.74,207528,12.5,
90.07,207528,12.5,
90.41,207528,12.5,
90.75,207528,12.5,
91.08,207528,12.5,
91.42,207528,12.5,
91.75,207528,12.5,
92.08,207528,12.5,
92.42,207528,11.4,
92.76,207528,12.5,
93.09,207528,12.5,
93.42,209372,12.5,
93.76,209372,12.5,
94.09,209068,12.5,
94.42,209068,12.5,
94.76,209068,12.5,
95.1,209068,12.5,
95.43,209068,12.5,
95.76,209068,12.5,
96.1,209068,12.5,
96.44,209068,12.5,
96.77,209068,12.5,
97.1,209068,12.5,
97.44,209068,12.5,
97.77,209068,12.5,
98.11,209068,12.5,
98.44,209068,12.5,
98.78,209068,12.5,
99.11,209068,12.5,
99.45,209068,12.5,
99.78,209068,12.5,
100.12,211704,12.5,
100.46,211704,12.5,
100.79,211704,12.5,
101.12,211324,12.5,
101.46,211324,12.5,
101.79,211324,12.5,
102.13,211324,12.5,
102.46,211324,12.5,
102.8,211324,12.5,
103.13,211324,12.5,
103.46,211324,12.5,
103.8,211324,12.5,
104.14,211324,12.5,
104.47,211324,12.5,
104.8,211324,12.5,
105.14,211324,12.5,
105.48,211324,12.5,
105.81,211324,12.5,
106.14,211324,12.5,
106.48,211324,12.5,
106.82,211324,12.5,
107.15,211324,12.5,
107.49,211324,12.5,
107.82,211324,12.5,
108.16,211324,12.5,
108.49,211324,12.5,
108.82,211388,12.5,
