time+,virt,%cpu,total-runtime
0.56,0.419,12.5,3185.31
0.89,0.467,12.5,
1.23,0.508,12.5,
1.5699999999999998,0.56,12.5,
1.9,0.61,12.5,
2.24,0.656,13.8,
2.57,0.692,12.5,
2.91,0.742,12.5,
3.24,0.796,12.5,
3.58,0.828,12.5,
3.92,0.887,13.8,
4.25,0.937,12.5,
4.59,0.961,12.5,
4.92,1.038,12.5,
5.26,1.072,13.8,
5.59,1.096,12.5,
5.93,1.173,13.8,
6.27,1.242,12.5,
6.6,1.242,12.5,
6.93,1.284,12.5,
7.26,1.327,12.5,
7.6,1.327,11.4,
7.93,1.327,12.5,
8.27,1.327,12.5,
8.6,1.327,12.5,
8.94,1.327,12.5,
9.28,1.327,12.5,
9.61,1.327,12.5,
9.95,1.327,12.5,
10.28,1.327,12.5,
10.61,1.327,12.5,
10.95,1.327,12.5,
11.28,1.327,12.5,
11.62,1.327,11.4,
11.95,1.327,12.5,
12.29,1.327,12.5,
12.62,1.327,12.5,
12.96,1.327,12.5,
13.29,1.327,12.5,
13.63,1.327,12.5,
13.96,1.327,12.5,
14.29,1.327,12.5,
14.63,1.327,12.5,
14.96,1.327,12.5,
15.3,1.327,12.5,
15.63,1.327,12.5,
15.97,1.327,12.5,
16.3,1.327,12.5,
16.64,1.327,12.5,
16.97,1.327,12.5,
17.31,1.327,12.5,
17.64,1.327,12.5,
17.97,1.327,12.5,
18.31,1.327,12.5,
18.64,1.327,12.5,
18.98,1.327,12.5,
19.31,1.327,12.5,
19.65,1.327,12.5,
19.98,1.327,12.5,
20.32,1.327,12.5,
20.65,1.327,12.5,
20.99,1.327,12.5,
21.32,1.327,12.5,
21.66,1.327,13.8,
21.99,1.327,12.5,
22.33,1.327,12.5,
22.66,1.327,12.5,
22.99,1.327,12.5,
23.33,1.329,12.5,
23.66,1.33,12.5,
24.0,1.331,12.5,
24.33,1.332,12.5,
24.67,1.334,12.5,
25.0,1.335,12.5,
25.33,1.336,12.5,
25.67,1.337,12.5,
26.0,1.339,12.5,
26.34,1.34,12.5,
26.67,1.341,12.5,
27.0,1.343,12.5,
27.34,1.344,12.5,
27.69,1.345,13.8,
28.02,1.346,12.5,
28.36,1.348,12.5,
28.69,1.349,12.5,
29.02,1.35,12.5,
29.36,1.352,12.5,
29.69,1.353,12.5,
30.02,1.354,12.5,
30.36,1.355,12.5,
30.69,1.356,12.5,
31.03,1.358,12.5,
31.36,1.359,12.5,
31.69,1.36,12.5,
32.03,1.362,12.5,
32.37,1.363,13.8,
32.7,1.364,12.5,
33.04,1.365,12.5,
33.37,1.367,12.5,
33.71,1.368,12.5,
34.04,1.369,12.5,
34.38,1.37,12.5,
34.72,1.372,12.5,
35.05,1.373,12.5,
35.38,1.374,12.5,
35.71,1.375,12.5,
36.05,1.377,12.5,
36.38,1.378,12.5,
36.72,1.379,12.5,
37.05,1.381,12.5,
37.39,1.382,12.5,
37.73,1.383,13.8,
38.07,1.384,12.5,
38.4,1.386,12.5,
38.73,1.387,12.5,
39.07,1.388,12.5,
39.41,1.388,13.8,
39.74,1.391,12.5,
40.07,1.391,12.5,
40.41,1.392,12.5,
40.74,1.392,12.5,
41.07,1.392,12.5,
41.41,1.392,12.5,
41.75,1.392,12.5,
42.08,1.392,12.5,
42.41,1.392,12.5,
42.75,1.392,12.5,
43.09,1.392,12.5,
43.42,1.392,12.5,
43.75,1.392,12.5,
44.09,1.392,12.5,
44.42,1.403,12.5,
44.76,1.404,12.5,
45.09,1.404,12.5,
45.43,1.404,12.5,
45.76,1.405,12.5,
46.1,1.405,13.8,
46.43,1.405,12.5,
46.77,1.405,12.5,
47.1,1.405,12.5,
47.44,1.405,12.5,
47.77,1.405,12.5,
48.11,1.405,12.5,
48.44,1.405,12.5,
48.78,1.405,12.5,
49.11,1.405,12.5,
49.45,1.405,12.5,
49.79,1.405,12.5,
50.12,1.405,12.5,
50.45,1.405,12.5,
50.79,1.405,12.5,
51.13,1.405,12.5,
51.46,1.405,12.5,
51.8,1.405,13.8,
52.13,1.405,12.5,
52.47,1.405,12.5,
52.8,1.405,12.5,
53.14,1.405,13.8,
53.47,1.405,12.5,
53.81,1.405,12.5,
54.14,1.405,12.5,
54.48,1.405,13.8,
54.81,1.405,12.5,
55.15,1.405,12.5,
55.48,1.405,12.5,
55.82,1.405,12.5,
56.15,1.405,11.4,
56.49,1.405,12.5,
56.82,1.405,12.5,
57.16,1.405,12.5,
57.5,1.405,12.5,
57.83,1.405,12.5,
58.17,1.405,12.5,
58.51,1.405,13.8,
58.84,1.405,12.5,
59.17,1.405,12.5,
59.51,1.405,12.5,
59.85,1.405,12.5,
60.18,1.405,12.5,
60.51,1.405,12.5,
60.85,1.405,12.5,
61.19,1.405,12.5,
61.52,1.405,12.5,
61.86,1.405,13.8,
62.19,1.405,12.5,
62.53,1.405,12.5,
62.87,1.424,12.5,
63.2,1.424,12.5,
63.54,1.424,12.5,
63.87,1.424,12.5,
64.21,1.424,12.5,
64.54,1.424,12.5,
64.88,1.424,12.5,
65.22,1.424,12.5,
65.55,1.424,11.4,
65.88,1.424,12.5,
66.22,1.424,12.5,
66.56,1.424,12.5,
66.89,1.424,12.5,
67.23,1.424,12.5,
67.56,1.424,12.5,
67.9,1.424,12.5,
68.24,1.424,12.5,
68.57,1.424,12.5,
68.91,1.424,12.5,
69.24,1.424,12.5,
69.58,1.424,12.5,
69.91,1.424,12.5,
70.25,1.424,12.5,
70.58,1.424,12.5,
70.92,1.424,12.5,
71.26,1.424,12.5,
71.59,1.424,12.5,
71.92,1.424,12.5,
72.26,1.424,12.5,
72.6,1.424,12.5,
72.93,1.424,12.5,
73.27,1.424,12.5,
73.6,1.424,12.5,
73.94,1.425,12.5,
74.27,1.425,12.5,
74.61,1.425,12.5,
74.94,1.425,12.5,
75.28,1.445,12.5,
75.62,1.445,12.5,
75.95,1.445,12.5,
76.29,1.445,12.5,
76.62,1.445,12.5,
76.96,1.445,12.5,
77.29,1.445,12.5,
77.64,1.445,12.5,
77.97,1.445,12.5,
78.31,1.445,12.5,
78.64,1.445,12.5,
78.98,1.445,12.5,
79.31,1.445,12.5,
79.65,1.445,12.5,
79.98,1.445,12.5,
80.32,1.445,12.5,
80.66,1.445,12.5,
80.99,1.445,12.5,
81.32,1.445,12.5,
81.66,1.445,12.5,
82.0,1.445,12.5,
82.33,1.445,12.5,
82.67,1.445,12.5,
83.0,1.445,12.5,
83.34,1.445,12.5,
83.68,1.445,12.5,
84.01,1.445,12.5,
84.35,1.445,12.5,
84.68,1.445,12.5,
85.02,1.445,12.5,
85.35,1.445,12.5,
85.69,1.445,12.5,
86.02,1.445,12.5,
86.36,1.445,12.5,
86.7,1.445,12.5,
87.03,1.445,12.5,
87.37,1.445,13.8,
87.7,1.445,12.5,
88.04,1.445,12.5,
88.37,1.445,12.5,
88.71,1.445,12.5,
89.04,1.445,12.5,
89.38,1.445,12.5,
89.72,1.445,12.5,
90.05,1.445,12.5,
90.38,1.445,12.5,
90.72,1.445,12.5,
91.06,1.445,12.5,
91.39,1.445,12.5,
91.73,1.445,12.5,
92.06,1.445,12.5,
92.4,1.445,12.5,
92.74,1.445,11.4,
93.07,1.445,11.2,
93.41,1.445,12.5,
93.74,1.458,12.5,
94.07,1.467,12.5,
94.41,1.468,12.5,
94.74,1.468,12.5,
95.08,1.468,12.5,
95.42,1.468,13.8,
95.75,1.468,12.5,
96.08,1.468,12.5,
96.42,1.468,12.5,
96.76,1.468,12.5,
97.09,1.468,12.5,
97.43,1.468,12.5,
97.77,1.468,12.5,
98.1,1.468,12.5,
98.44,1.468,12.5,
98.78,1.468,12.5,
99.11,1.468,12.5,
99.45,1.468,12.5,
99.78,1.468,12.5,
100.12,1.468,12.5,
100.46,1.468,12.5,
100.79,1.468,12.5,
101.13,1.468,13.8,
101.46,1.468,12.5,
101.8,1.468,12.5,
102.13,1.468,12.5,
102.47,1.468,12.5,
102.8,1.468,12.5,
103.14,1.468,12.5,
103.48,1.468,12.5,
103.81,1.468,12.5,
104.14,1.468,12.5,
104.48,1.468,12.5,
104.82,1.468,12.5,
105.15,1.468,12.5,
105.49,1.468,12.5,
105.82,1.468,12.5,
106.16,1.468,12.5,
106.5,1.468,12.5,
106.83,1.468,12.5,
107.16,1.468,12.5,
107.5,1.468,12.5,
107.84,1.468,12.5,
108.17,1.468,11.4,
108.51,1.468,12.5,
108.84,1.468,12.5,
109.18,1.468,12.5,
109.52,1.468,12.5,
109.85,1.468,12.5,
110.19,1.468,12.5,
110.52,1.468,11.4,
110.86,1.468,12.5,
111.19,1.468,12.5,
111.53,1.468,12.5,
111.86,1.468,12.5,
112.2,1.468,12.5,
112.54,1.468,12.5,
112.87,1.468,12.5,
113.2,1.468,12.5,
113.54,1.468,12.5,
113.88,1.468,12.5,
114.21,1.468,12.5,
114.55,1.468,12.5,
114.88,1.468,11.4,
115.22,1.468,12.5,
115.55,1.468,12.5,
115.89,1.468,12.5,
116.22,1.468,12.5,
116.56,1.468,12.5,
116.9,1.468,12.5,
117.23,1.468,12.5,
117.57,1.468,12.5,
117.91,1.468,12.5,
118.24,1.468,11.4,
118.58,1.468,12.5,
118.92,1.468,13.8,
119.25,1.468,12.5,
119.58,1.468,12.5,
119.92,1.468,12.5,
120.26,1.468,12.5,
120.59,1.468,12.5,
120.93,1.468,12.5,
121.26,1.468,12.5,
121.6,1.468,12.5,
121.93,1.468,12.5,
122.27,1.468,12.5,
122.6,1.468,12.5,
122.94,1.468,12.5,
123.27,1.468,12.5,
123.61,1.468,12.5,
123.94,1.468,12.5,
124.28,1.468,12.5,
124.62,1.468,12.5,
124.95,1.468,12.5,
125.29,1.468,12.5,
125.62,1.468,11.4,
125.96,1.468,12.5,
126.29,1.468,12.5,
126.63,1.468,12.5,
126.96,1.468,12.5,
127.3,1.468,12.5,
127.63,1.468,12.5,
127.97,1.468,12.5,
128.31,1.468,12.5,
128.64,1.468,11.4,
128.97,1.468,12.5,
129.31,1.468,12.5,
129.65,1.468,12.5,
129.98,1.468,12.5,
130.31,1.468,12.5,
130.65,1.468,12.5,
130.99,1.468,12.5,
131.32,1.468,12.5,
131.66,1.468,12.5,
131.99,1.468,12.5,
132.33,1.468,12.5,
132.66,1.468,12.5,
133.0,1.468,12.5,
133.33,1.468,12.5,
133.67,1.468,12.5,
134.01,1.468,12.5,
134.34,1.468,12.5,
134.68,1.468,12.5,
135.01,1.468,12.5,
135.35,1.468,12.5,
135.68,1.468,12.5,
136.02,1.468,12.5,
136.35,1.468,12.5,
136.69,1.468,12.5,
137.03,1.468,13.8,
137.36,1.468,12.5,
137.69,1.468,12.5,
138.03,1.468,11.4,
138.37,1.468,12.5,
138.7,1.468,12.5,
139.03,1.468,12.5,
139.37,1.468,12.5,
139.71,1.468,12.5,
140.04,1.465,12.5,
140.38,1.465,13.8,
140.71,1.465,12.5,
141.05,1.465,12.5,
141.38,1.465,11.4,
141.71,1.465,11.2,
142.05,1.465,12.5,
142.38,1.465,12.5,
142.72,1.465,12.5,
143.05,1.465,12.5,
143.39,1.465,12.5,
143.72,1.465,12.5,
144.06,1.465,12.5,
144.39,1.465,12.5,
144.73,1.465,12.5,
145.06,1.465,12.5,
145.4,1.465,12.5,
145.73,1.465,12.5,
146.07,1.465,12.5,
146.4,1.465,12.5,
146.74,1.465,12.5,
147.07,1.465,12.5,
147.41,1.465,12.5,
147.74,1.465,12.5,
148.07,1.465,12.5,
148.41,1.465,12.5,
148.75,1.465,12.5,
149.08,1.465,12.5,
149.41,1.465,12.5,
149.76,1.465,12.5,
