time+,res,%cpu,total-runtime
0.35,50892,11.2,17.36
0.72,72232,11.2,
1.09,72420,12.5,
1.46,72932,12.5,
1.83,74488,12.5,
2.21,77940,12.5,
2.59,80516,12.5,
2.96,80516,12.5,
3.33,80516,13.8,
3.69,80516,12.5,
4.06,80516,12.5,
4.43,83116,12.5,
4.79,86732,12.5,
5.16,86732,12.5,
5.53,86732,12.5,
5.9,86732,12.5,
6.27,86996,12.5,
6.64,88132,13.8,
7.0,89812,12.5,
7.37,89812,12.5,
7.74,89812,12.5,
8.11,91852,12.5,
8.48,91852,12.5,
8.85,91852,12.5,
9.22,92644,12.5,
9.58,92644,11.2,
9.96,92644,13.8,
10.32,92644,12.5,
10.69,92644,12.5,
11.06,92644,12.5,
11.43,92644,12.5,
11.8,92644,11.4,
12.17,92988,12.5,
12.54,92988,12.5,
12.91,92988,12.5,
13.28,92988,12.5,
13.65,92988,12.5,
14.02,92988,12.5,
14.39,92988,12.5,
14.77,92988,12.5,
15.14,92988,13.8,
15.51,92988,12.5,
15.88,92988,12.5,
16.25,92988,12.5,
16.62,92988,12.5,
16.99,92988,12.5,
17.36,92988,12.5,
