time+,res,%cpu,total-runtime
0.56,74412,12.5,54.45
0.89,121876,12.5,
1.23,173208,12.5,
1.56,212664,12.5,
1.9,260852,12.5,
2.24,300920,12.5,
2.57,300920,12.5,
2.91,300920,12.5,
3.24,300920,12.5,
3.58,300920,12.5,
3.91,300920,12.5,
4.25,300920,12.5,
4.58,300920,12.5,
4.91,300920,12.5,
5.25,300920,12.5,
5.59,300920,12.5,
5.92,300920,12.5,
6.25,300920,12.5,
6.59,301620,12.5,
6.92,302900,12.5,
7.26,304180,12.5,
7.59,305716,12.5,
7.92,306996,12.5,
8.25,308276,12.5,
8.59,309556,12.5,
8.92,310836,12.5,
9.26,312116,12.5,
9.59,313396,12.5,
9.93,314932,12.5,
10.26,316212,12.5,
10.59,317792,12.5,
10.93,319108,12.5,
11.26,319108,12.5,
11.6,319108,13.8,
11.93,324652,12.5,
12.26,324652,12.5,
12.6,324652,12.5,
12.94,331464,12.5,
13.27,331464,12.5,
13.61,331464,12.5,
13.94,331464,12.5,
14.28,335540,12.5,
14.61,338704,12.5,
14.94,338704,12.5,
15.28,338704,12.5,
15.61,338704,12.5,
15.95,338704,12.5,
16.28,338704,12.5,
16.62,338704,12.5,
16.96,338704,12.5,
17.29,338704,12.5,
17.62,338968,12.5,
17.96,338968,12.5,
18.29,338968,12.5,
18.63,338968,12.5,
18.96,338968,12.5,
19.3,338968,12.5,
19.63,338968,12.5,
19.96,338592,12.5,
20.3,338592,12.5,
20.63,338592,12.5,
20.97,338592,12.5,
21.3,338592,12.5,
21.64,338592,12.5,
21.98,338592,12.5,
22.31,338592,12.5,
22.65,338592,12.5,
22.98,338592,12.5,
23.32,338592,13.8,
23.65,338592,12.5,
23.99,338592,12.5,
24.32,338592,12.5,
24.65,338592,12.5,
24.99,338592,12.5,
25.32,338592,12.5,
25.66,338592,12.5,
25.99,338592,12.5,
26.33,338592,12.5,
26.67,338592,12.5,
27.0,338592,12.5,
27.33,338592,12.5,
27.67,338592,12.5,
28.01,338592,12.5,
28.34,338592,12.5,
28.67,338592,12.5,
29.01,338592,12.5,
29.34,338592,12.5,
29.68,338592,12.5,
30.01,338592,12.5,
30.35,338592,12.5,
30.68,338592,12.5,
31.02,338592,12.5,
31.35,338592,12.5,
31.69,338592,12.5,
32.02,338592,12.5,
32.35,338592,12.5,
32.69,338592,12.5,
33.02,338592,11.4,
33.36,338592,12.5,
33.69,338592,12.5,
34.03,338592,12.5,
34.36,338592,12.5,
34.7,338592,12.5,
35.03,338592,12.5,
35.37,338592,12.5,
35.7,338592,12.5,
36.03,338592,12.5,
36.37,338592,12.5,
36.7,338592,12.5,
37.04,338592,12.5,
37.37,338592,12.5,
37.71,338592,12.5,
38.04,338592,12.5,
38.37,338592,12.5,
38.71,338592,12.5,
39.04,338592,12.5,
39.38,338592,12.5,
39.71,338592,12.5,
40.05,338592,12.5,
40.38,338592,12.5,
40.72,338592,12.5,
41.05,338592,12.5,
41.39,338592,12.5,
41.72,338592,12.5,
42.05,338592,12.5,
42.39,338592,12.5,
42.73,338592,13.8,
43.06,338592,12.5,
43.4,338592,12.5,
43.73,338592,12.5,
44.07,338592,12.5,
44.4,338592,12.5,
44.73,338592,12.5,
45.07,338592,12.5,
45.4,338592,12.5,
45.74,338592,12.5,
46.07,338592,12.5,
46.41,338592,12.5,
46.75,338592,12.5,
47.08,338592,12.5,
47.42,338592,12.5,
47.75,338592,12.5,
48.09,338592,12.5,
48.42,338592,12.5,
48.76,338592,12.5,
49.09,338592,12.5,
49.43,338592,12.5,
49.76,338592,12.5,
50.09,338592,12.5,
50.43,338592,12.5,
50.76,338592,12.5,
51.1,338592,12.5,
51.43,338592,12.5,
51.77,338592,12.5,
52.11,338592,12.5,
52.44,338592,12.5,
52.78,338592,12.5,
53.11,338592,12.5,
53.45,338592,12.5,
53.78,338592,12.5,
54.11,338592,12.5,
54.45,338608,12.5,
