time+,res,%cpu,total-runtime
0.33,48712,13.8,68.41
0.67,72128,13.8,
1.0,89764,11.2,
1.35,89948,12.5,
1.7,90204,11.4,
2.08,90460,12.5,
2.42,90716,12.5,
2.77,90972,12.5,
3.11,91228,12.5,
3.46,92296,12.5,
3.8,93448,12.5,
4.14,96308,12.5,
4.48,96308,12.5,
4.82,98840,12.5,
5.16,98840,12.5,
5.5,98840,12.5,
5.84,98840,12.5,
6.17,102560,12.5,
6.51,102560,12.5,
6.86,102560,12.5,
7.21,102560,12.5,
7.55,102560,12.5,
7.89,102560,12.5,
8.23,102560,12.5,
8.57,102560,12.5,
8.91,102560,12.5,
9.26,102560,12.5,
9.59,102560,12.5,
9.93,102560,12.5,
10.28,102560,12.5,
10.62,102560,12.5,
10.96,102560,12.5,
11.3,102560,12.5,
11.65,102560,12.5,
11.99,102560,12.5,
12.33,102560,12.5,
12.67,102560,12.5,
13.02,103352,12.5,
13.36,103352,12.5,
13.7,103352,12.5,
14.05,103352,12.5,
14.39,103352,12.5,
14.73,103352,12.5,
15.07,106264,12.5,
15.42,106264,12.5,
15.76,106264,13.8,
16.09,106264,12.5,
16.43,106264,12.5,
16.77,106792,12.5,
17.11,108952,12.5,
17.45,111528,11.4,
17.8,111528,12.5,
18.14,111528,12.5,
18.48,113048,12.5,
18.83,113048,12.5,
19.17,113048,12.5,
19.51,113048,12.5,
19.86,113048,12.5,
20.2,113312,12.5,
20.54,113312,12.5,
20.88,113312,12.5,
21.22,113312,12.5,
21.57,113312,12.5,
21.91,113312,11.4,
22.25,114560,12.5,
22.6,117152,12.5,
22.94,117152,12.5,
23.29,117152,12.5,
23.63,117152,12.5,
23.97,117152,12.5,
24.31,117152,12.5,
24.66,117152,12.5,
25.0,117152,12.5,
25.34,117152,12.5,
25.69,117152,12.5,
26.03,117416,12.5,
26.37,117416,12.5,
26.72,117416,12.5,
27.06,117416,12.5,
27.4,117416,12.5,
27.74,117416,12.5,
28.09,117416,12.5,
28.43,117416,12.5,
28.77,117416,12.5,
29.11,117416,12.5,
29.46,117416,13.8,
29.8,117416,11.4,
30.14,117416,12.5,
30.48,117416,12.5,
30.82,118936,12.5,
31.17,122024,12.5,
31.51,122024,13.8,
31.84,122024,12.5,
32.19,122024,12.5,
32.52,125584,11.4,
32.87,125584,12.5,
33.21,125584,12.5,
33.55,125584,12.5,
33.89,125584,12.5,
34.24,125584,12.5,
34.58,125584,12.5,
34.92,125584,12.5,
35.26,125584,12.5,
35.6,126112,12.5,
35.94,126640,12.5,
36.28,126640,12.5,
36.62,126640,11.4,
36.96,126640,12.5,
37.31,126640,12.5,
37.65,126640,12.5,
37.99,126640,12.5,
38.33,126640,12.5,
38.67,126640,12.5,
39.02,126640,12.5,
39.36,126640,12.5,
39.7,126640,12.5,
40.04,126640,12.5,
40.39,126640,13.8,
40.73,126640,12.5,
41.07,126640,12.5,
41.41,127432,11.4,
41.75,127432,12.5,
42.09,127432,12.5,
42.44,127432,12.5,
42.78,127432,12.5,
43.12,127432,12.5,
43.46,127432,12.5,
43.81,127432,12.5,
44.15,127432,13.8,
44.49,127432,12.5,
44.83,127432,12.5,
45.17,127432,12.5,
45.51,127432,12.5,
45.85,127432,12.5,
46.2,127432,12.5,
46.54,127432,12.5,
46.88,127432,12.5,
47.22,127960,12.5,
47.56,127960,12.5,
47.9,127960,12.5,
48.24,127960,12.5,
48.59,127960,13.8,
48.93,127960,12.5,
49.27,127960,12.5,
49.61,127960,12.5,
49.96,127960,12.5,
50.3,127960,12.5,
50.64,127960,12.5,
50.98,127960,12.5,
51.32,127960,12.5,
51.68,127960,13.8,
52.02,127960,12.5,
52.36,127960,12.5,
52.7,127960,12.5,
53.04,127960,12.5,
53.38,127960,12.5,
53.72,124756,12.5,
54.06,124756,12.5,
54.41,124756,12.5,
54.75,124756,12.5,
55.09,124756,11.4,
55.44,124756,13.8,
55.78,124756,13.8,
56.11,124756,12.5,
56.45,124756,12.5,
56.8,124756,12.5,
57.14,124756,12.5,
57.48,124756,12.5,
57.82,124756,12.5,
58.16,124756,12.5,
58.5,124756,12.5,
58.84,124756,12.5,
59.18,124756,12.5,
59.52,124756,12.5,
59.87,124756,12.5,
60.21,124756,12.5,
60.55,124756,12.5,
60.89,124756,12.5,
61.24,124756,12.5,
61.58,124756,12.5,
61.92,124756,12.5,
62.27,124756,12.5,
62.61,124756,12.5,
62.95,124756,12.5,
63.29,124756,12.5,
63.63,124756,12.5,
63.97,124756,12.5,
64.32,124756,12.5,
64.66,124756,13.8,
65.0,124756,12.5,
65.34,124756,12.5,
65.68,124756,12.5,
66.02,124756,11.4,
66.37,124756,12.5,
66.71,124756,12.5,
67.05,124756,12.5,
67.38,124756,11.2,
67.72,124756,12.5,
68.06,124756,12.5,
68.41,124756,12.5,
